date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:26:54	351/351	---MCZ	200	added ('OK')	text/plain	etag:W/%2236ce7330c13a3901544d661a90b09bdd%22	https://www.psicoresumenes.com/robots.txt		(from )
04:26:54	102633/-1	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:26:57%20GMT	https://www.psicoresumenes.com/	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/index.html	(from )
04:26:55	10389/10389	---M--	200	added ('OK')	image/png	etag:%226aeae449b60b519e74318d0ca8af625d%22	https://www.psicoresumenes.com/uploads/2/6/3/9/26399176/editor/logo-servicios.png	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/uploads/2/6/3/9/26399176/editor/logo-servicios.png	(from https://www.psicoresumenes.com/)
04:26:56	29652/29652	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%226a3c43a3-337bd%22	http://cdn11.editmysite.com/css/sites.css?buildtime=1782335418	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn11.editmysite.com/css/sitesd746.css	(from https://www.psicoresumenes.com/)
04:26:58	1218/1218	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%226a3c43a8-f47%22	http://cdn11.editmysite.com/css/old/fancybox.css?buildtime=1782335418	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn11.editmysite.com/css/old/fancyboxd746.css	(from https://www.psicoresumenes.com/)
04:26:58	12720/12720	---M-Z	200	added ('OK')	text/css	etag:W/%226a3c43a3-31b0%22	http://cdn11.editmysite.com/css/social-icons.css?buildtime=1782335418	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn11.editmysite.com/css/social-iconsd746.css	(from https://www.psicoresumenes.com/)
04:26:58	195682/195682	---M--	200	added ('OK')	text/javascript	etag:11788443553715215311	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-2040379168165984	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/pagead2.googlesyndication.com/pagead/js/f9b32.txt	(from https://www.psicoresumenes.com/)
04:26:59	334/334	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%226a3bef9a-6de%22	http://cdn2.editmysite.com/fonts/Quattrocento_Sans/font.css?2	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn2.editmysite.com/fonts/Quattrocento_Sans/fontc81e.css	(from https://www.psicoresumenes.com/)
04:27:00	5268/5268	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	date:Tue,%2030%20Jun%202026%2007:27:01%20GMT	https://www.psicoresumenes.com/files/main_style.css?1782681744	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/files/main_stylec2a4.css	(from https://www.psicoresumenes.com/)
04:27:00	278/278	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%226a3bef9a-358%22	http://cdn2.editmysite.com/fonts/Quattrocento/font.css?2	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn2.editmysite.com/fonts/Quattrocento/fontc81e.css	(from https://www.psicoresumenes.com/)
04:27:00	241/241	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%226a3b03b7-1ad%22	http://cdn2.editmysite.com/fonts/Varela/font.css?2	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn2.editmysite.com/fonts/Varela/fontc81e.css	(from https://www.psicoresumenes.com/)
04:27:00	367/367	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%226a3bef9a-a2a%22	https://cdn2.editmysite.com/fonts/Open_Sans/font.css?2	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn2.editmysite.com/fonts/Open_Sans/fontc81e.css	(from https://www.psicoresumenes.com/)
04:27:00	10785/10785	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%226a3c43a2-12199%22	http://cdn2.editmysite.com/css/site_membership.css?buildtime=1782335418	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/cdn2.editmysite.com/css/site_membershipd746.css	(from https://www.psicoresumenes.com/)
04:27:01	15951/15951	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2030%20Jun%202026%2007:27:03%20GMT	https://www.psicoresumenes.com/files/templateArtifacts.js?1782681744	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/files/templateArtifactsc2a4.js	(from https://www.psicoresumenes.com/)
04:27:03	976/976	---MC-	200	added ('OK')	text/javascript	date:Tue,%2030%20Jun%202026%2007:27:05%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.google.com/recaptcha/api.js	(from https://www.psicoresumenes.com/)
04:27:04	96399/96399	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:06%20GMT	https://www.psicoresumenes.com/clases-particulares-y-otros-servicios.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/clases-particulares-y-otros-servicios.html	(from https://www.psicoresumenes.com/)
